count
186917
169609
156491
138652
130939
109733
97359
86079
72930
71588
68186
66264
55504
53974
51488
48845
46092
42447
39304
38178
37961
37802
37383
36564
35399
34536
33219
32035
31193
30557
30107
28880
27410
27354
27297
26866
26205
24865
24764
24674
24572
22311
22216
21990
21699
21573
21390
21363
21293
21146
20844
20658
20505
20463
20433
20167
19766
19642
18633
17775
17347
17200
17048
16947
16671
16644
16617
16570
16430
16247
16052
15752
15680
15494
15481
15411
14474
14226
13926
13794
13269
13037
12990
12790
12734
12410
12314
12238
12089
11900
11878
11754
11071
10913
10746
10555
10422
10401
10374
10338
10293
10279
10169
10051
10044
9921
9906
9706
9531
9479
9456
9412
9388
9314
9260
9255
9223
9128
9108
9050
9010
8850
8735
8699
8555
8521
8435
8420
8380
8228
8210
8070
8004
